"","FECHAPROCESO","TIPOTX","CANAL","valtransaccion","transacciones","consistentes","conciliado","peso_val","peso_trans"
"47","2022-09-16","EnvioDineroTransfiya","TRANSFIYA",176179.84079602,402,339,84.3283582089552,0.00375798808375733,0.0377767357329392
"48","2022-09-16","ReciboDineroTransfiya","TRANSFIYA",221324.365853659,82,69,84.1463414634146,0.0047209392729908,0.00770570231368411
"49","2022-09-17","DevolucionDineroTransfiya","TRANSFIYA",200090.909090909,11,11,100,0.00426802095310325,0.00103369177378689
"50","2022-09-17","EnvioDineroTransfiya","TRANSFIYA",166266.506024096,415,347,83.6144578313253,0.00354653259727907,0.0389983714655964
"51","2022-09-17","ReciboDineroTransfiya","TRANSFIYA",235574.393442623,61,57,93.4426229508197,0.00502489819150602,0.00573229074554549
"52","2022-09-18","DevolucionDineroTransfiya","TRANSFIYA",57837.5,16,16,100,0.00123369753776747,0.00150355167096275
"53","2022-09-18","EnvioDineroTransfiya","TRANSFIYA",182360.965517241,406,340,83.743842364532,0.00388983400291367,0.0381526236506798
"54","2022-09-18","ReciboDineroTransfiya","TRANSFIYA",213385.488636364,88,81,92.0454545454545,0.00455159977395272,0.00826953419029514
"55","2022-09-19","DevolucionDineroTransfiya","TRANSFIYA",213976.19047619,21,21,100,0.00456419968586712,0.00197341156813861
"56","2022-09-19","EnvioDineroTransfiya","TRANSFIYA",169665.085158151,411,360,87.5912408759124,0.00361902568065215,0.0386224835478557
"57","2022-09-19","ReciboDineroTransfiya","TRANSFIYA",177789.814814815,81,76,93.8271604938272,0.00379232948825886,0.00761173033424893
"58","2022-09-20","DevolucionDineroTransfiya","TRANSFIYA",130335.714285714,28,25,89.2857142857143,0.00278011410931403,0.00263121542418482
"59","2022-09-20","EnvioDineroTransfiya","TRANSFIYA",161939.009389671,426,359,84.2723004694836,0.0034542253235797,0.0400320632393833
"60","2022-09-20","ReciboDineroTransfiya","TRANSFIYA",152271.906976744,86,83,96.5116279069768,0.00324802207405864,0.00808159023142479
"61","2022-09-21","DevolucionDineroTransfiya","TRANSFIYA",72747.5217391304,23,22,95.6521739130435,0.00155173440152584,0.00216135552700896
"62","2022-09-21","EnvioDineroTransfiya","TRANSFIYA",175354.366412214,393,338,86.0050890585242,0.00374038037742854,0.0369309879180226
"63","2022-09-21","ReciboDineroTransfiya","TRANSFIYA",192652.013888889,72,71,98.6111111111111,0.00410934627500613,0.00676598251933239
"64","2022-09-22","DevolucionDineroTransfiya","TRANSFIYA",115109.523809524,21,20,95.2380952380952,0.00245533323704164,0.00197341156813861
"65","2022-09-22","EnvioDineroTransfiya","TRANSFIYA",185659.038277512,418,367,87.799043062201,0.00396018324421428,0.0392802874039019
"66","2022-09-22","ReciboDineroTransfiya","TRANSFIYA",242960.048780488,82,79,96.3414634146341,0.00518243724151895,0.00770570231368411
"67","2022-09-23","DevolucionDineroTransfiya","TRANSFIYA",175982,25,24,96,0.00375376805863661,0.0023492994858793
"68","2022-09-23","EnvioDineroTransfiya","TRANSFIYA",160472.308080808,396,341,86.1111111111111,0.00342293998459747,0.0372129038563281
"69","2022-09-23","ReciboDineroTransfiya","TRANSFIYA",255742.594202899,69,64,92.7536231884058,0.00545509416503793,0.00648406658102687
"70","2022-09-24","DevolucionDineroTransfiya","TRANSFIYA",154066.666666667,24,22,91.6666666666667,0.00328630503252576,0.00225532750644413
"71","2022-09-24","EnvioDineroTransfiya","TRANSFIYA",176540.254716981,424,362,85.377358490566,0.00376567586014578,0.0398441192805129
"72","2022-09-24","ReciboDineroTransfiya","TRANSFIYA",177868.584415584,77,69,89.6103896103896,0.00379400967606989,0.00723584241650825
"73","2022-09-25","DevolucionDineroTransfiya","TRANSFIYA",203335,20,18,90,0.00433721873943287,0.00187943958870344
"74","2022-09-25","EnvioDineroTransfiya","TRANSFIYA",171132.179669031,423,364,86.0520094562648,0.00365031940679427,0.0397501473010778
"75","2022-09-25","ReciboDineroTransfiya","TRANSFIYA",289305.342465753,73,69,94.5205479452055,0.00617100131684417,0.00685995449876756
"76","2022-09-26","DevolucionDineroTransfiya","TRANSFIYA",137847.368421053,19,18,94.7368421052632,0.00294034076522633,0.00178546760926827
"77","2022-09-26","EnvioDineroTransfiya","TRANSFIYA",166811.972850679,442,375,84.841628959276,0.00355816762785419,0.041535614910346
"78","2022-09-26","ReciboDineroTransfiya","TRANSFIYA",288226.879120879,91,84,92.3076923076923,0.00614799725247168,0.00855145012860065
"79","2022-09-27","DevolucionDineroTransfiya","TRANSFIYA",64550.1363636364,22,20,90.9090909090909,0.00137688081771122,0.00206738354757378
"80","2022-09-27","EnvioDineroTransfiya","TRANSFIYA",181262.21483376,391,328,83.8874680306905,0.00386639720130862,0.0367430439591523
