"","CANAL","valor","trans","consistentes","conciliado","peso_val","peso_trans","ponderado_val","ponderado_trans"
"1","ACH",292750945.247191,601671,552672,91.8561805372039,6.24449743385448,56.5402148387394,5.73595683648244,51.9356818183954
"2","PSE",4379844817.46799,446904,301488,67.4614682347887,93.4238818606247,41.9964534974961,63.0251223851118,28.3314241359511
"3","TRANSFIYA",15546851.6134606,15572,13500,86.6940662727973,0.331620705520857,1.4633316637645,0.28749547421857,1.26862172237482
