"","FECHAPROCESO","CANAL","ORIGEN","DESTINO","valor","trans","consistentes","conciliado","peso_val","peso_trans","ponderado_val","ponderado_trans"
"1","2022-09-01","ACH",0,1,5653751.96728886,7171,5931,82.7081299679264,0.109744041332714,0.683880504494194,0.0907672443375159,0.565624776482369
"2","2022-09-01","ACH",1,0,4149478.99875976,12820,12456,97.1606864274571,0.0805448483385606,1.22261163960613,0.0782579275276997,1.18789786138331
"3","2022-09-01","ACH",1,1,163306.604060914,197,197,100,0.00316991739461824,0.0187874019502658,0.00316991739461824,0.0187874019502658
"4","2022-09-01","ACH",1,NA,118167.090909091,11,0,0,0.00229372179464612,0.001049042748492,0,0
"5","2022-09-01","ACH",NA,1,2070868.69090909,49,0,0,0.0401972885483215,0.00467300860691891,0,0
"6","2022-09-01","ACH",NA,NA,1249287.66666667,5,0,0,0.0242497156083876,0.00047683761295091,0,0
"7","2022-09-01","PSE",1,0,101825886.387784,2837,1256,44.2721184349665,1.97652538511339,0.270557661588346,0.875049659394577,0.119781608373268
"8","2022-09-01","PSE",1,NA,1365914.88148148,135,0,0,0.0265135471236731,0.0128746155496746,0,0
"9","2022-09-01","PSE",NA,0,2141878.41509434,106,0,0,0.0415756465221234,0.0101089573945593,0,0
"10","2022-09-01","PSE",NA,NA,5692407.24604645,11663,8789,75.3579696476035,0.110494372534763,1.11227141596929,0.0832663157170563,0.838185156045109
"11","2022-09-02","ACH",0,1,5187101.8197164,7046,5851,83.0400227079194,0.100685972747568,0.671959564170422,0.0836096546332696,0.557995374675154
"12","2022-09-02","ACH",1,0,3829550.33669881,12656,12286,97.0764854614412,0.0743347661637719,1.20697136590134,0.0721615784677704,1.17168538254297
"13","2022-09-02","ACH",1,1,199933.770491803,183,183,100,0.00388088124480979,0.0174522566340033,0.00388088124480979,0.0174522566340033
"14","2022-09-02","ACH",1,NA,102293.058823529,17,0,0,0.0019855935917476,0.00162124788403309,0,0
"15","2022-09-02","ACH",NA,1,2797494.22142857,43,0,0,0.0543016961551826,0.00410080347137782,0,0
"16","2022-09-02","ACH",NA,NA,947919,4,0,0,0.0183998984246119,0.000381470090360728,0,0
"17","2022-09-02","PSE",1,0,34810155.5082554,2865,1265,44.1535776614311,0.675694152661615,0.273227952220871,0.298343142449195,0.12063991607658
"18","2022-09-02","PSE",1,NA,1391241.48429752,121,0,0,0.0270051576085939,0.011539470233412,0,0
"19","2022-09-02","PSE",NA,0,1688824.98634146,123,0,0,0.032781501589935,0.0117302052785924,0,0
"20","2022-09-02","PSE",NA,NA,11021970.3262002,11852,8794,74.198447519406,0.213945637170656,1.13029587773884,0.158744341316128,0.83866199365806
"21","2022-09-03","ACH",0,1,6809812.51004348,7092,5928,83.5871404399323,0.132184140707647,0.67634647020957,0.110488943332618,0.565338673914598
"22","2022-09-03","ACH",1,0,5046805.47242638,12843,12447,96.916608269096,0.0979627036291297,1.22480509262571,0.0949421297260592,1.18703955367999
"23","2022-09-03","ACH",1,1,151849.723163842,177,177,100,0.00294752978051936,0.0168800514984622,0.00294752978051936,0.0168800514984622
"24","2022-09-03","ACH",1,NA,69776.5,12,0,0,0.00135442006376593,0.00114441027108218,0,0
"25","2022-09-03","ACH",NA,1,2180644.17619048,26,0,0,0.0423281222785136,0.00247955558734473,0,0
"26","2022-09-03","ACH",NA,NA,1405074,3,0,0,0.027273658275721,0.000286102567770546,0,0
"27","2022-09-03","PSE",1,0,165392972.40673,2980,1337,44.8657718120805,3.21041554439617,0.284195217318742,1.44037771236835,0.127506377703073
"28","2022-09-03","PSE",1,NA,2342144.03669725,109,0,0,0.0454629692737881,0.0103950599623298,0,0
"29","2022-09-03","PSE",NA,0,4422448.48504673,107,0,0,0.0858434137441477,0.0102043249171495,0,0
"30","2022-09-03","PSE",NA,NA,6540778.92977798,11836,8820,74.5184183845894,0.126961974520773,1.12876999737739,0.0946100553627256,0.841141549245404
"31","2022-09-04","ACH",0,1,6272778.79882339,7047,5849,82.9998580956435,0.121759868446998,0.672054931693012,0.10106051802845,0.557804639629974
"32","2022-09-04","ACH",1,0,4028810.43763793,12638,12241,96.8586801709131,0.0782025709206739,1.20525475049472,0.0757459780534871,1.16739384402642
"33","2022-09-04","ACH",1,1,174901.909090909,176,176,100,0.00339499193659315,0.016784683975872,0.00339499193659315,0.016784683975872
"34","2022-09-04","ACH",1,NA,122261.25,20,0,0,0.0023731928374324,0.00190735045180364,0,0
"35","2022-09-04","ACH",NA,1,3312325.92343604,51,0,0,0.0642950088988955,0.00486374365209928,0,0
"36","2022-09-04","ACH",NA,NA,1645780,7,0,0,0.0319459625023423,0.000667572658131273,0,0
"37","2022-09-04","PSE",1,0,137232970.270378,2839,1241,43.7125748502994,2.66380641540336,0.270748396633526,1.16441837320027,0.118351095534416
"38","2022-09-04","PSE",1,NA,1674706.32038835,103,0,0,0.0325074465077725,0.00982285482678874,0,0
"39","2022-09-04","PSE",NA,0,1323812.78407692,130,0,0,0.025696310296785,0.0123977779367236,0,0
"40","2022-09-04","PSE",NA,NA,27059315.8292526,11919,8841,74.1756858796879,0.525243889718153,1.13668550175238,0.389603257739592,0.843144267219798
"41","2022-09-05","ACH",0,1,4102251.96293777,7048,5902,83.7400681044268,0.0796281321824121,0.672150299215602,0.0666806521198349,0.562859118327254
"42","2022-09-05","ACH",1,0,3779939.81307698,12745,12372,97.0733621027854,0.0733717845214233,1.21545907541187,0.0712244580697567,1.17988698948573
"43","2022-09-05","ACH",1,1,162129.795811518,191,191,100,0.00314707456495229,0.0182151968147247,0.00314707456495229,0.0182151968147247
